libdc1394 error: Failed to initialize libdc1394
Input dim is 96
Dim after convolution 0 = 92
Number of parameters is     9408.0
Dim after pooling 0 is 46
Dim after convolution 1 = 46
Number of parameters is   179200.0
Dim after pooling 1 is 23
Dim after convolution 2 = 23
Number of parameters is   193536.0
Dim after pooling 2 is 11
Dim after convolution 3 = 11
Number of parameters is   552960.0
Dim after pooling 3 is 5
Dim after convolution 4 = 5
Number of parameters is  1474560.0
Iteration     0: accuracy_at_1 =  0.78%; accuracy_at_5 =  5.86%; loss = 4.605170 
Iteration    10: accuracy_at_1 =  1.56%; accuracy_at_5 =  8.20%; loss = 4.611815  (0.727527 s/it)
Iteration    20: accuracy_at_1 =  1.17%; accuracy_at_5 =  5.08%; loss = 4.607887  (0.721051 s/it)
Iteration    30: accuracy_at_1 =  1.17%; accuracy_at_5 =  6.64%; loss = 4.610044  (1.301285 s/it)
Iteration    40: accuracy_at_1 =  0.78%; accuracy_at_5 =  5.08%; loss = 4.603711  (2.021067 s/it)
Iteration    50: accuracy_at_1 =  1.17%; accuracy_at_5 =  7.03%; loss = 4.607507  (2.033381 s/it)
Iteration    60: accuracy_at_1 =  1.17%; accuracy_at_5 =  3.91%; loss = 4.608217  (2.035370 s/it)
Iteration    70: accuracy_at_1 =  0.39%; accuracy_at_5 =  5.86%; loss = 4.601099  (2.035654 s/it)
Iteration    80: accuracy_at_1 =  3.12%; accuracy_at_5 =  7.81%; loss = 4.596516  (2.036328 s/it)
Iteration    90: accuracy_at_1 =  0.78%; accuracy_at_5 =  3.52%; loss = 4.601096  (2.036256 s/it)
Iteration   100: accuracy_at_1 =  1.95%; accuracy_at_5 =  5.86%; loss = 4.577258  (2.035414 s/it)
Iteration   110: accuracy_at_1 =  2.34%; accuracy_at_5 =  8.98%; loss = 4.556080  (2.036055 s/it)
Iteration   120: accuracy_at_1 =  1.17%; accuracy_at_5 =  6.64%; loss = 4.537643  (2.035499 s/it)
Iteration   130: accuracy_at_1 =  2.34%; accuracy_at_5 = 12.50%; loss = 4.519437  (2.036429 s/it)
Iteration   140: accuracy_at_1 =  1.95%; accuracy_at_5 =  9.38%; loss = 4.517933  (2.036736 s/it)
Iteration   150: accuracy_at_1 =  1.95%; accuracy_at_5 =  8.59%; loss = 4.505113  (2.037616 s/it)
Iteration   160: accuracy_at_1 =  0.00%; accuracy_at_5 =  5.08%; loss = 4.615366  (2.038570 s/it)
Iteration   170: accuracy_at_1 =  2.34%; accuracy_at_5 =  6.64%; loss = 4.501025  (2.037160 s/it)
Iteration   180: accuracy_at_1 =  1.17%; accuracy_at_5 =  7.42%; loss = 4.518610  (2.038450 s/it)
Iteration   190: accuracy_at_1 =  2.73%; accuracy_at_5 =  9.77%; loss = 4.438070  (2.038415 s/it)
Iteration   200: accuracy_at_1 =  2.34%; accuracy_at_5 =  9.77%; loss = 4.468468  (2.035592 s/it)
Iteration   210: accuracy_at_1 =  1.17%; accuracy_at_5 =  7.03%; loss = 4.445899  (2.036641 s/it)
Iteration   220: accuracy_at_1 =  3.12%; accuracy_at_5 =  9.77%; loss = 4.519201  (2.036207 s/it)
Iteration   230: accuracy_at_1 =  2.73%; accuracy_at_5 =  9.38%; loss = 4.450553  (2.036519 s/it)
Iteration   240: accuracy_at_1 =  1.95%; accuracy_at_5 =  9.38%; loss = 4.451514  (2.037148 s/it)
Iteration   250: accuracy_at_1 =  2.73%; accuracy_at_5 = 11.33%; loss = 4.465168  (2.036182 s/it)
Iteration   260: accuracy_at_1 =  1.56%; accuracy_at_5 =  8.98%; loss = 4.463190  (2.035439 s/it)
Iteration   270: accuracy_at_1 =  4.69%; accuracy_at_5 = 13.67%; loss = 4.425623  (2.038579 s/it)
Iteration   280: accuracy_at_1 =  3.12%; accuracy_at_5 = 12.11%; loss = 4.424917  (2.037719 s/it)
Iteration   290: accuracy_at_1 =  3.12%; accuracy_at_5 = 12.50%; loss = 4.334771  (2.037810 s/it)
Iteration   300: accuracy_at_1 =  1.95%; accuracy_at_5 = 11.33%; loss = 4.377332  (2.038573 s/it)
Iteration   310: accuracy_at_1 =  5.47%; accuracy_at_5 = 16.02%; loss = 4.331049  (2.037829 s/it)
Iteration   320: accuracy_at_1 =  3.12%; accuracy_at_5 = 16.02%; loss = 4.354276  (2.037033 s/it)
Iteration   330: accuracy_at_1 =  1.17%; accuracy_at_5 = 13.28%; loss = 4.346077  (2.035445 s/it)
Iteration   340: accuracy_at_1 =  3.91%; accuracy_at_5 = 15.62%; loss = 4.290326  (2.035863 s/it)
Iteration   350: accuracy_at_1 =  3.52%; accuracy_at_5 = 14.06%; loss = 4.336358  (2.036817 s/it)
Iteration   360: accuracy_at_1 =  2.73%; accuracy_at_5 = 14.45%; loss = 4.352571  (2.035861 s/it)
Iteration   370: accuracy_at_1 =  3.52%; accuracy_at_5 = 15.23%; loss = 4.247407  (2.036667 s/it)
Iteration   380: accuracy_at_1 =  5.86%; accuracy_at_5 = 17.19%; loss = 4.278187  (2.036383 s/it)
Iteration   390: accuracy_at_1 =  2.73%; accuracy_at_5 = 16.80%; loss = 4.277381  (2.036355 s/it)
Iteration   400: accuracy_at_1 =  3.91%; accuracy_at_5 = 17.19%; loss = 4.312322  (2.029532 s/it)
Iteration   410: accuracy_at_1 =  5.86%; accuracy_at_5 = 19.92%; loss = 4.186809  (2.029023 s/it)
Iteration   420: accuracy_at_1 =  4.30%; accuracy_at_5 = 19.14%; loss = 4.257554  (2.027903 s/it)
Iteration   430: accuracy_at_1 =  3.52%; accuracy_at_5 = 12.89%; loss = 4.316916  (2.028809 s/it)
Iteration   440: accuracy_at_1 =  5.47%; accuracy_at_5 = 21.88%; loss = 4.159953  (2.028180 s/it)
Iteration   450: accuracy_at_1 =  6.64%; accuracy_at_5 = 18.36%; loss = 4.351044  (2.027850 s/it)
Iteration   460: accuracy_at_1 =  3.52%; accuracy_at_5 = 19.14%; loss = 4.175547  (2.028532 s/it)
Iteration   470: accuracy_at_1 =  3.12%; accuracy_at_5 = 16.41%; loss = 4.167046  (2.027972 s/it)
Iteration   480: accuracy_at_1 =  5.86%; accuracy_at_5 = 19.14%; loss = 4.202832  (2.027296 s/it)
Iteration   490: accuracy_at_1 =  4.30%; accuracy_at_5 = 19.14%; loss = 4.129288  (2.026822 s/it)
Iteration   500: accuracy_at_1 =  5.08%; accuracy_at_5 = 18.36%; loss = 4.124988  (2.027307 s/it)
Iteration   510: accuracy_at_1 =  5.47%; accuracy_at_5 = 19.92%; loss = 4.142027  (2.027959 s/it)
Iteration   520: accuracy_at_1 =  5.08%; accuracy_at_5 = 20.70%; loss = 4.056388  (2.027789 s/it)
Iteration   530: accuracy_at_1 =  5.47%; accuracy_at_5 = 23.83%; loss = 4.190106  (2.027442 s/it)
Iteration   540: accuracy_at_1 =  6.25%; accuracy_at_5 = 18.36%; loss = 4.130376  (2.027417 s/it)
Iteration   550: accuracy_at_1 =  5.86%; accuracy_at_5 = 23.44%; loss = 4.062583  (2.027360 s/it)
Iteration   560: accuracy_at_1 =  6.64%; accuracy_at_5 = 24.22%; loss = 4.002840  (2.028344 s/it)
Iteration   570: accuracy_at_1 =  6.64%; accuracy_at_5 = 22.66%; loss = 4.112637  (2.028387 s/it)
Iteration   580: accuracy_at_1 =  3.12%; accuracy_at_5 = 18.75%; loss = 4.167249  (2.027079 s/it)
Iteration   590: accuracy_at_1 =  7.81%; accuracy_at_5 = 22.66%; loss = 4.249859  (2.028589 s/it)
Iteration   600: accuracy_at_1 =  5.08%; accuracy_at_5 = 22.66%; loss = 4.048369  (2.026971 s/it)
Iteration   610: accuracy_at_1 =  5.47%; accuracy_at_5 = 18.36%; loss = 4.205908  (2.026069 s/it)
Iteration   620: accuracy_at_1 =  6.25%; accuracy_at_5 = 19.92%; loss = 4.073973  (2.027128 s/it)
Iteration   630: accuracy_at_1 =  7.42%; accuracy_at_5 = 28.12%; loss = 4.013940  (2.026742 s/it)
Iteration   640: accuracy_at_1 =  5.86%; accuracy_at_5 = 24.22%; loss = 4.124801  (2.026629 s/it)
Iteration   650: accuracy_at_1 =  4.30%; accuracy_at_5 = 25.78%; loss = 4.115468  (2.028671 s/it)
Iteration   660: accuracy_at_1 =  7.42%; accuracy_at_5 = 26.17%; loss = 3.958591  (2.028029 s/it)
Iteration   670: accuracy_at_1 =  5.86%; accuracy_at_5 = 27.34%; loss = 4.038776  (2.029334 s/it)
Iteration   680: accuracy_at_1 =  4.69%; accuracy_at_5 = 17.58%; loss = 4.142655  (2.028924 s/it)
Iteration   690: accuracy_at_1 =  5.08%; accuracy_at_5 = 23.44%; loss = 4.060875  (2.028911 s/it)
Iteration   700: accuracy_at_1 =  5.86%; accuracy_at_5 = 25.78%; loss = 4.072364  (2.027809 s/it)
Iteration   710: accuracy_at_1 =  7.81%; accuracy_at_5 = 24.22%; loss = 4.064795  (2.027929 s/it)
Iteration   720: accuracy_at_1 =  4.30%; accuracy_at_5 = 20.70%; loss = 4.059247  (2.026916 s/it)
Iteration   730: accuracy_at_1 =  4.69%; accuracy_at_5 = 19.14%; loss = 4.249443  (2.027447 s/it)
Iteration   740: accuracy_at_1 =  6.64%; accuracy_at_5 = 26.17%; loss = 3.984453  (2.027332 s/it)
Iteration   750: accuracy_at_1 =  7.42%; accuracy_at_5 = 26.56%; loss = 4.035437  (2.027417 s/it)
Iteration   760: accuracy_at_1 =  4.69%; accuracy_at_5 = 25.39%; loss = 4.028245  (2.026392 s/it)
Iteration   770: accuracy_at_1 =  7.03%; accuracy_at_5 = 28.12%; loss = 3.963363  (2.027165 s/it)
Iteration   780: accuracy_at_1 =  4.69%; accuracy_at_5 = 23.44%; loss = 4.146391  (2.030337 s/it)
Iteration   790: accuracy_at_1 =  7.81%; accuracy_at_5 = 26.17%; loss = 4.076266  (2.027977 s/it)
Iteration   800: accuracy_at_1 =  7.42%; accuracy_at_5 = 23.05%; loss = 4.027148  (2.028509 s/it)
Iteration   810: accuracy_at_1 =  8.59%; accuracy_at_5 = 28.12%; loss = 3.964394  (2.028348 s/it)
Iteration   820: accuracy_at_1 =  8.20%; accuracy_at_5 = 23.05%; loss = 4.144998  (2.029106 s/it)
Iteration   830: accuracy_at_1 =  6.25%; accuracy_at_5 = 26.17%; loss = 3.971698  (2.028411 s/it)
Iteration   840: accuracy_at_1 =  8.98%; accuracy_at_5 = 23.83%; loss = 3.985304  (2.026500 s/it)
Iteration   850: accuracy_at_1 = 12.11%; accuracy_at_5 = 30.86%; loss = 4.060680  (2.027941 s/it)
Iteration   860: accuracy_at_1 =  8.20%; accuracy_at_5 = 28.91%; loss = 3.985507  (2.026526 s/it)
Iteration   870: accuracy_at_1 =  6.64%; accuracy_at_5 = 25.78%; loss = 3.967628  (2.026644 s/it)
Iteration   880: accuracy_at_1 =  6.25%; accuracy_at_5 = 30.47%; loss = 3.938271  (2.027622 s/it)
Iteration   890: accuracy_at_1 =  7.03%; accuracy_at_5 = 23.83%; loss = 4.021681  (2.027464 s/it)
Iteration   900: accuracy_at_1 = 10.94%; accuracy_at_5 = 26.56%; loss = 3.909007  (2.027600 s/it)
Iteration   910: accuracy_at_1 =  8.20%; accuracy_at_5 = 28.91%; loss = 3.958656  (2.028073 s/it)
Iteration   920: accuracy_at_1 =  8.98%; accuracy_at_5 = 30.08%; loss = 3.911104  (2.028431 s/it)
Iteration   930: accuracy_at_1 =  5.08%; accuracy_at_5 = 21.88%; loss = 4.161957  (2.027821 s/it)
Iteration   940: accuracy_at_1 =  9.77%; accuracy_at_5 = 31.25%; loss = 3.863916  (2.028258 s/it)
Iteration   950: accuracy_at_1 =  7.42%; accuracy_at_5 = 28.91%; loss = 3.892694  (2.027434 s/it)
Iteration   960: accuracy_at_1 =  7.42%; accuracy_at_5 = 28.52%; loss = 4.065670  (2.027766 s/it)
